Bank Name,Loan Type,Interest Rate (%),Loan Tenure (Min years),Loan Tenure (Max years),Minimum Loan Amount,Maximum Loan Amount,Eligibility Criteria,Required Documents,Processing Fees,Prepayment & Late Payment Charges,Minimum Credit Score
State Bank of India,Home Loan,8.40,5,30,500000,10000000,"Salaried/Self-employed individuals, minimum age 21 years","PAN Card, Aadhaar Card, Salary Slips, Bank Statement, Property Documents",0.35%,"Prepayment: Nil for floating rate loans, Late Payment: 2% per month",750
State Bank of India,Gold Loan,7.50,1,3,25000,2500000,"Owner of gold ornaments, minimum age 18 years","Aadhaar Card, PAN Card, Proof of Ownership of Gold",0.50%,"Prepayment: Nil, Late Payment: 1.5% per month",650
HDFC Bank,Personal Loan,10.75,1,5,50000,4000000,"Salaried individuals with minimum income ₹25,000 per month","PAN Card, Aadhaar Card, Salary Slip, Bank Statement, Employment Proof",2.50%,"Prepayment: 4% after 12 EMIs, Late Payment: 2% per month",700
HDFC Bank,Car Loan,9.10,1,7,100000,3000000,"Salaried/Self-employed, minimum age 21 years","PAN Card, Aadhaar Card, Income Proof, Address Proof",1.00%,"Prepayment: 5% within 24 months, Late Payment: ₹500 per month",720
ICICI Bank,Home Loan,8.60,5,30,500000,8000000,"Salaried/self-employed individuals, minimum age 21 years","PAN Card, Aadhaar Card, Salary Slips, IT Returns, Property Documents",0.40%,"Prepayment: Nil, Late Payment: 2% per month",750
ICICI Bank,Personal Loan,11.25,1,5,50000,2500000,"Salaried individuals with minimum monthly income of ₹30,000","PAN Card, Aadhaar Card, Salary Slips, Bank Statements",2.00%,"Prepayment: 5% after 12 months, Late Payment: 2.5% per month",710
Axis Bank,Education Loan,11.00,5,15,50000,5000000,"Indian nationality with confirmed admission in a recognized institute","PAN Card, Aadhaar Card, Admission Letter, Income Proof, Collateral Documents",1.50%,"Prepayment: Nil, Late Payment: 2% per month",700
Axis Bank,Car Loan,9.25,1,7,200000,2500000,"Salaried/self-employed individuals with stable income","PAN Card, Aadhaar Card, Income Proof, Vehicle Quotation",1.50%,"Prepayment: 6% within 24 months, Late Payment: ₹400 per month",720
Canara Bank,Education Loan,10.50,5,15,100000,4000000,"Indian citizen, admission to recognized higher education institution","PAN Card, Aadhaar Card, Admission Letter, Income Proof",1.00%,"Prepayment: Nil, Late Payment: 1.8% per month",700
Canara Bank,Gold Loan,7.25,1,3,50000,1500000,"Ownership of gold ornaments, minimum age 18 years","Aadhaar Card, PAN Card",0.75%,"Prepayment: Nil, Late Payment: 1.5% per month",650
State Bank of India,Car Loan,8.85,1,7,100000,2500000,"Salaried/self-employed individuals with stable income","PAN Card, Aadhaar Card, Income Proof, Vehicle Quotation",1.25%,"Prepayment: 4% within first 12 months, Late Payment: ₹300 per month",715
HDFC Bank,Education Loan,10.75,5,15,50000,3000000,"Indian national with confirmed admission in India or abroad","PAN Card, Aadhaar Card, Admission Letter, Co-applicant IT Returns",1.25%,"Prepayment: Nil, Late Payment: 2% per month",710
ICICI Bank,Gold Loan,7.80,1,3,25000,1000000,"Owner of gold ornaments, minimum age 18 years","Aadhaar Card, PAN Card",0.60%,"Prepayment: Nil, Late Payment: 1.5% per month",660
Axis Bank,Home Loan,8.70,5,30,500000,9000000,"Salaried/self-employed, minimum age 23 years","PAN Card, Aadhaar Card, Income Proof, Property Documents",0.75%,"Prepayment: Nil, Late Payment: 2% per month",750
Canara Bank,Personal Loan,11.00,1,5,25000,2000000,"Salaried or self-employed, minimum income ₹20,000","PAN Card, Aadhaar Card, Salary Slips, Bank Statements",2.00%,"Prepayment: 4% after 12 months, Late Payment: 2% per month",700
